%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
15.0, 1081690.96875, 1193963.4375, -707895.65625, 84250.875, -852576.1875, -521857.59375, 418737.9375, 256989.4453125, 0.09400000423192978, 0.9380000233650208, 0.15400001406669617, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741660683E9, 2020-11-13 03:54:34.166
16.0, 1073710.3125, 1191640.125, -718910.390625, 71967.966796875, -871574.25, -528307.78125, 408335.25, 252431.8359375, 0.09400000423192978, 0.9380000233650208, 0.15400001406669617, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.60525767416607E9, 2020-11-13 03:54:34.166
17.0, 1065590.25, 1194539.625, -812015.25, 55687.494140625, -939990.375, -531929.8125, 390850.9921875, 252337.9453125, 0.09400000423192978, 0.9380000233650208, 0.15400001406669617, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.605257674166072E9, 2020-11-13 03:54:34.166
18.0, 1072666.96875, 1197366.65625, -813354.1875, 65784.3984375, -930128.4375, -525953.34375, 399014.015625, 257070.4453125, 0.10000000149011612, 0.9380000233650208, 0.17600001394748688, 192.0, 3.0, 32.0, 29.0, 80.0, 5.0, 128.0, 0.0, 0.0, 0.0, 1.6052576741660738E9, 2020-11-13 03:54:34.166
19.0, 1081578.375, 1194818.53125, -720403.3125, 82976.291015625, -860568.09375, -521741.71875, 417444.046875, 257848.2890625, 0.10000000149011612, 0.9380000233650208, 0.17600001394748688, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741660757E9, 2020-11-13 03:54:34.166
20.0, 1076008.96875, 1191707.15625, -706132.359375, 75503.654296875, -860448.9375, -527124.375, 412108.03125, 253325.5546875, 0.10000000149011612, 0.9380000233650208, 0.17600001394748688, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741660776E9, 2020-11-13 03:54:34.166
21.0, 1066277.90625, 1193899.59375, -797582.25, 57111.2109375, -930314.625, -532204.5, 392821.875, 251969.953125, 0.10000000149011612, 0.9380000233650208, 0.17600001394748688, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741660793E9, 2020-11-13 03:54:34.166
22.0, 1070466.46875, 1197329.625, -824500.40625, 61861.400390625, -940166.34375, -527730.5625, 395367.28125, 256234.6640625, 0.10000000149011612, 0.9380000233650208, 0.17600001394748688, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741660812E9, 2020-11-13 03:54:34.166
23.0, 1080602.0625, 1195328.15625, -735331.96875, 80699.630859375, -870785.15625, -522444.46875, 414927.046875, 257806.453125, 0.10000000149011612, 0.9380000233650208, 0.17600001394748688, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.605257674166093E9, 2020-11-13 03:54:34.166
24.0, 1077838.3125, 1191555.9375, -697219.921875, 78491.09765625, -852108.375, -526300.40625, 414876.609375, 253724.109375, 0.10000000149011612, 0.9380000233650208, 0.17600001394748688, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741660948E9, 2020-11-13 03:54:34.166
